"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"274562932644388864","","","","","2012-11-30 17:17:58 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Timelapse Writing of a Research Paper: http://t.co/UTvga5vw via @RSEF_ESP","http://youtu.be/hNENiG7LAnc"
"274552274238468097","","","274551705847345153","14807369","2012-11-30 16:35:37 +0000","web","RT @jimjansen: Almighty Twitter, What Are People Asking for? http://t.co/nUEXFxIc","http://goo.gl/22mnh"
"274539274370699264","","","274538433450500096","14065835","2012-11-30 15:43:58 +0000","web","RT @mstrohm: RT @ststaab: Open Scholarships for Ph.D. students at Institute WeST http://t.co/mnCz4kPS  @WeST_Ko on social computing and  ...","http://west.uni-koblenz.de/Jobs"
"274118492083585026","","","274053876234215424","101824202","2012-11-29 11:51:56 +0000","web","RT @gmiritello: Using friends as sensors to detect global-scale http://t.co/TsZepA2s by @Ranzher @estebanmoro @manuel_cebrian @NAChrista ...","http://arxiv.org/abs/1211.6512"
"273821302123540481","273809624220708864","13641782","","","2012-11-28 16:11:00 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","@rochgs ?Como? ?Pero no era la marca Espa?a?"
"273518897326612481","","","","","2012-11-27 20:09:21 +0000","web","New blog post: ""Delivering and streaming a lecture using Skype, Google+ Hangouts and Screen Me!"" http://t.co/TmUyO4k7 /cc @davidmogar","http://www.di.uniovi.es/~dani/PFCblog/index.php?entry=entry121127-210315"
"273509785008222208","273500016335794176","14732972","","","2012-11-27 19:33:08 +0000","web","@ditman @putuko @eltecnomante Supongo que ya lo habr?is visto pero por si acaso: Honest Trailers - Prometheus http://t.co/W72ZGLdK","http://www.youtube.com/watch?v=RBaKqOMGPWc"
"273488787231870976","273487775309905920","15859033","","","2012-11-27 18:09:42 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ivanoransky ""No plagiar?"""
"273434779406458880","","","273425520673308672","1855871","2012-11-27 14:35:06 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @arkaitz: Large-scale and long-term social tagging dataset (339m bookmarks by 2m users) available for research purposes! http://t.co/ ..."
"273405904693649408","273404662282088448","142090256","","","2012-11-27 12:40:21 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","@_Armaggedon_ Nunca dejes que la verdad te impida contar una buena historia, ?eh? ;)"
"273403959329316864","273339073224122368","13395602","","","2012-11-27 12:32:38 +0000","web","@littlemove No, a los de Madrid no les pasan esas cosas. S?lo a los turistas :)"
"273403779267825664","273341960830472192","142090256","","","2012-11-27 12:31:55 +0000","web","@_Armaggedon_ Y una de las primeras tambi?n tiene HTML y CSS. Adem?s, te falt? decir HTML5 y CSS 3 :)"
"273199796997730304","","","273198511535845376","15159648","2012-11-26 23:01:22 +0000","web","RT @vanessa_murdock: SEXI 2013 Deadline Extended to Dec. 5:
http://t.co/wH0ckdA1","http://www.sexi2013.org"
"273195141777457152","","","271080490272972800","596203049","2012-11-26 22:42:52 +0000","web","RT @DALupton: 30 tips for successful academic research and writing http://t.co/FVUqu5Cp #phdchat","http://wp.me/p2sGsk-eI"
"273009372014198785","","","","","2012-11-26 10:24:41 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Just uploaded the slides I used in the lecture I delivered at UC3M last Friday. Influence and prominence in Twitter. http://t.co/DPQcJCBd","http://www.slideshare.net/daniel.gayo/separating-the-wheat-from-the-chaff-in-twitter-influentials-spammers-the-rest-of-us"
"272265524904329216","","","272260268904550400","8087392","2012-11-24 09:08:54 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @polisea: Bamboo DiRT, a tool, service, and collection registry of digital research tools for scholarly use. http://t.co/KVjkJa5F via ...","http://dirt.projectbamboo.org/"
"271692435380391936","","","271507293714145282","20532003","2012-11-22 19:11:39 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @cheesycons: ""Influence matters too much for us not to try to measure it."" Thoughtful @LinkedIn post by @dtunkelang.  http://t.co/Mu6 ..."
"270617334815789057","270592142190186496","42584339","","","2012-11-19 19:59:35 +0000","web","@animamiguel Quiz?s puedas darme alg?n detalle m?s por correo (?)"
"270591104771059714","270590479450640384","42584339","","","2012-11-19 18:15:21 +0000","web","@animamiguel Eso no lo discuto y tampoco hagas mucho caso a lo que diga yo al respecto: como dije, el f?tbol me es totalmente ajeno."
"270587979540619264","270587221260783616","42584339","","","2012-11-19 18:02:56 +0000","web","@animamiguel Hablo desde la ignorancia pero parece que aunque es de la gente es de algunos m?s que de otros ;)"
"270585124918288385","270584135893016576","42584339","","","2012-11-19 17:51:35 +0000","web","@animamiguel ?Qu? no habr? que darle a Carlos Slim entonces? :D"
"270582961005555713","270488359888109568","57300220","","","2012-11-19 17:42:59 +0000","web","@Zapy91 No, no tenemos :( Hay VGA y NO hay adaptadores, cada cual que traiga el suyo."
"270515121661546496","270474553367597056","37880109","","","2012-11-19 13:13:25 +0000","web","@lferna @putuko Vamos, que lo m?s seguro es que cada uno se traiga sus adaptadores (bien sean de Mac, HDMI, etc.) Aqu? hay VGA y gracias :)"
"270514832267161600","270474553367597056","37880109","","","2012-11-19 13:12:16 +0000","web","@lferna @putuko Tenemos un adaptador pero NO s? para q tipo d Mac es. S?lo s? que hasta ahora siempre ha venido gente a la q no le serv?a."
"270485846044590080","","","270311442257952768","14732972","2012-11-19 11:17:05 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ditman: Track profane tweets in real time to measure humanity's discontent: http://t.co/F1lF4M8J //cc @PFCdgayo","http://wtflevel.com"
"270484299986386944","","","270477479364419584","28067879","2012-11-19 11:10:57 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @lsf1968: ""Separating the wheat from the chaff in Twitter: influentials, spammers &amp; the rest of us"", by @PFCdgayo at @uc3m: http: ..."
"270482459362197505","270477997423857664","14093970","","","2012-11-19 11:03:38 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@estebanmoro @lsf1968 No pasa nada :-) Ya consideremos en otra ocasi?n."
"269755634084376576","269737255734767616","18876718","","","2012-11-17 10:55:29 +0000","web","@horacio_ps My personal copy is here: http://t.co/7VuIYr9v","http://www.di.uniovi.es/~dani/downloads/IC-16-06-Peer.pdf"
"269755097901318145","269754928992497664","87985586","","","2012-11-17 10:53:21 +0000","web","@bpoblete Thank you!"
