"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"53581881811283968","","","","","2011-03-31 22:18:10 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","Dato para santiaguinos que aun no pagan patente: en el forestal hay un modulo desocupado"
"53558325509492736","","","","","2011-03-31 20:44:34 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","necesito a algun cabro que est? aburrido en su casa, y que sepa instalar routers wifi, para un pituto relativamente corto. interesados  DM"
"53485445979447297","53484273050714112","17705530","","","2011-03-31 15:54:58 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","@mfarah me imagino el apoteosico carnaval que tendran los bancos si el cambio de hora llegase a aparecer publicado con efecto retroactivo XD"
"53483794514186240","53483036758638593","17705530","","","2011-03-31 15:48:24 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","@mfarah pero mi punto es que legalmente, mientras no est? publicado en el diario oficial, rige el decreto anterior que fij? el cambio el 2/4"
"53482376256421888","53481640936214529","17705530","","","2011-03-31 15:42:46 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","@mfarah o sea, si no sale el s?bado, el sabado atrasamos la hora, pero si sale el martes, debemos volver a adelantarla? que bonito eh?"
"53474028157009920","","","","","2011-03-31 15:09:36 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","al final, el decreto que  nuevamente posterga el cambio de hora sali? o no publicado? sin decreto en el diario oficial no hay parche..."
"53124261660987393","53122633067282433","50314555","","","2011-03-30 15:59:45 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","@JaimeR13 unity es parecido al unr, pero no es lo mismo... y si le sumas los paquetes elementary queda super agradable."
"53123519604727808","53122850667761665","22911258","","","2011-03-30 15:56:48 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","@apenailillo beta-1 a partir de ma?ana, la oficial sale a fin de abril."
"53122252211879936","","","","","2011-03-30 15:51:46 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","post ?o?o de la semana: Ubuntu Natty promete, la interfaz est? comoda, es visualmente agradable. Ya no se necesita ser geek para usar linux"
"53081370922205184","","","","","2011-03-30 13:09:19 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","recomienda leer: La hora como un par?metro http://bit.ly/g4gjhe"
"53080383050350593","","","","","2011-03-30 13:05:24 +0000","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Photo: (via malaimagen: Banco) http://tumblr.com/xwd1xlap4x"
"52852292419985408","","","","","2011-03-29 21:59:03 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","recomienda leer: C?mo construirse una c?mara Hasselbald de cart?n que hace fotos de verdad http://bit.ly/hw54WV"
"52756603564343297","","","","","2011-03-29 15:38:49 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","estas son cosas que hay que saber leer y recordar para que nunca m?s en chile pasen: http://bit.ly/f8NSEB"
"52715111999225856","","","","","2011-03-29 12:53:56 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","recomienda leer: 20 aplicaciones para escribir sin distracciones http://bit.ly/fmDKEw"
"52482222678220800","","","","","2011-03-28 21:28:31 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","http://bit.ly/euaB8H para que en la ma?ana no vea venir la micro y en la tarde se devuelva con el sol en la ventana y olor a segundo tiempo!"
"52379961931210753","52378998604443648","10889262","","","2011-03-28 14:42:10 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","@Ymodita yo todavia estoy arreglando problemas derivados del no-cambio anterior :| ( y para que hablar de sincronizaci?n de agendas )"
